"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.78503,1.22221,0.300214,-0.0851584,0
1.90665,2.28132,0.328325,-0.0800413,0
2.01005,2.28132,0.356437,-0.0749242,0
1.82996,2.28132,0.35597,-0.0487913,0
1.6411,1.22221,0.355502,-0.0226584,0
2.11142,2.28132,0.301282,-0.138355,0
2.17027,2.28132,0.329327,-0.132772,0
2.06535,2.28132,0.328826,-0.106407,0
1.97772,2.28132,0.300748,-0.111756,0
2.21428,2.28132,0.357372,-0.12719,0
2.13343,2.28132,0.356904,-0.101057,0
1.5814,1.22221,0.383247,0.00789385,0
1.75243,1.22221,0.383681,-0.0180065,0
1.45283,1.22221,0.382812,0.0337942,0
1.38572,1.22221,0.354567,0.0296075,0
1.4974,1.22221,0.355035,0.00347455,0
1.28757,1.22221,0.381944,0.0855948,0
1.35353,1.22221,0.382378,0.0596945,0
1.30696,1.22221,0.3541,0.0557404,0
1.25125,1.22221,0.297543,0.0478322,0
1.27452,1.22221,0.325821,0.0517863,0
1.33191,1.22221,0.326322,0.0254208,0
1.42292,1.22221,0.326823,-0.000944747,0
1.24867,1.22221,0.38151,0.111495,0
